asset_id,feature,namespace,key,relationship,owner,source_repo,source_path,status,notes
project-transmog-mark,Transmog token,item_template,entry=90001,allocated,project,azerothcore-setup,data/sql/custom/db_world/transmog_currency_loot.sql,active,Requires matching Item.dbc/client data verification
project-raid-curios,Raid curios,item_template,entry=90002-90005,allocated,project,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor.sql,active,Four explicit item-template allocations
project-dark-riders,Dark Rider vendors,creature_template,entry=90200-90203,allocated,project,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor_npc.sql,active,Four vendor templates
project-paladin-trainers,Forsaken Paladin,creature_template,entry=90210-90211,allocated,project,azerothcore-setup,data/sql/custom/db_world/race_class_5_2.sql,active,Cloned trainer templates
project-dark-rider-spawns,Dark Rider vendors,creature.guid,guid=900000-900003,allocated,project,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor_npc.sql,active,Four explicit creature spawns
project-dark-rider-text,Dark Rider vendors,npc_text,ID=92000-92003,allocated,project,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor_npc.sql,active,Text IDs also used as gossip MenuID/TextID
project-dark-rider-menus,Dark Rider vendors,gossip_menu,MenuID=92000-92003;TextID=92000-92003,allocated,project,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor_npc.sql,active,Paired menu/text IDs
project-dark-rider-gossip,Dark Rider vendors,gossip_menu_option,MenuID=92000-92003;OptionID=0,allocated,project,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor_npc.sql,active,Composite menu-option keys
project-curio-creature-loot,Raid curios,creature_loot_template,Entry=<canonical-or-module-lootid>;Item=90002-90005;Reference=0;GroupId=0,allocated,project,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor_loot.sql,active,Composite loot rows; includes Individual Progression Naxx loot IDs
project-curio-gameobject-loot,Raid curios,gameobject_loot_template,Entry=16719|361000;Item=90002|90005;Reference=0;GroupId=0,allocated,project,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor_loot.sql,active,Composite loot rows
project-token-loot,Transmog token,creature_loot_template,Entry=<canonical-lootid>;Item=90001;Reference=0;GroupId=0,allocated,project,azerothcore-setup,data/sql/custom/db_world/transmog_currency_loot.sql,active,Composite loot rows on selected canonical bosses
project-dark-rider-display,Dark Rider vendors,CreatureDisplayInfo.dbc,ID=90100,dependency,external dependency,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor_npc.sql,unresolved,Tracked and installed DBC presence must be checked separately
project-vendor-costs,Raid curios,ItemExtendedCost.dbc,ID=93010|93050|93100|94005|94010|95010|95050|96005|96010|96050,referenced,external dependency,azerothcore-setup,data/sql/custom/db_world/raid_gear_vendor_item.sql,unresolved,Consumed costs are not proven project-owned allocations
module-morph-items,MorphSummon unlocks,item_template,entry=91001-91079,allocated,module:mod-morphsummon,mod-morphsummon,data/sql/db-world/updates/mod_morphsummon_unlock_catalog_template.sql,active,79 module-owned item allocations
module-morph-npc,MorphSummon,creature_template,entry=601072,allocated,module:mod-morphsummon,mod-morphsummon,data/sql/db-world/base/morphsummon.sql,active,Base module NPC
module-morph-text,MorphSummon,npc_text,ID=601072-601074,allocated,module:mod-morphsummon,mod-morphsummon,data/sql/db-world/base/morphsummon.sql,active,Module-owned text IDs
module-morph-menus,MorphSummon,gossip_menu_option,MenuID=61072-61074;OptionID=<source-defined>,allocated,module:mod-morphsummon,mod-morphsummon,data/sql/db-world/base/morphsummon.sql,active,Module-owned gossip options
module-transmog-helper-items,Transmog,item_template,entry=57575-57576,allocated,module:mod-transmog,mod-transmog,data/sql/db-world/trasm_world_VendorItems.sql,active,Module UI helper items
module-transmog-text,Transmog,npc_text,ID=601083-601084,allocated,module:mod-transmog,mod-transmog,data/sql/db-world/trasm_world_texts.sql,active,Module-owned NPC text
module-ip-quests,Individual Progression,quest_template,ID=66001-66018,allocated,module:mod-individual-progression,mod-individual-progression,src/IndividualProgression.cpp,active,Hidden progression state quests
module-ip-naxx,Individual Progression Naxx40,creature_template,entry=351000-351092,allocated,module:mod-individual-progression,mod-individual-progression,data/sql/world/base/naxx40_creatures.sql,active,93 templates; project loot overlay references part of range
module-ip-chest,Individual Progression Naxx40,gameobject_template,entry=361000-361001,allocated,module:mod-individual-progression,mod-individual-progression,data/sql/world/base/naxx40_gameobjects.sql,active,Custom chest and teleport object
module-transmog-npcs,Transmog,creature_template,entry=190010-190011,allocated,module:mod-transmog,mod-transmog,data/sql/db-world/trasm_world_NPC.sql,active,Module-owned NPCs
module-character-services,Character Services,creature_template,entry=390011,allocated,module:mod-character-services,mod-character-services,data/sql/db-world/character_services_NPC.sql,active,Module-owned NPC
module-reagent-bank,Reagent Bank,creature_template,entry=190012,allocated,module:mod-reagent-bank-account,mod-reagent-bank-account,data/sql/db-world/base/reagent_bank_account_NPC.sql,active,Module-owned NPC
module-ip-spells,Individual Progression,Spell.dbc,ID=90001-90008,allocated,module:mod-individual-progression,mod-individual-progression,data/sql/world/base/naxx40_spells.sql,active,Separate namespace from items
module-ip-onyxia,Individual Progression,creature_template,entry=301000-301002,allocated,module:mod-individual-progression,mod-individual-progression,data/sql/world/base/dungeon_onyxia.sql,active,Module-owned dungeon templates
module-ip-adjustment-spells,Individual Progression,Spell.dbc,ID=89501|89505|89507|89509-89519,allocated,module:mod-individual-progression,mod-individual-progression,data/sql/world/base/adjustment_auras.sql,active,Module-defined adjustment aura spells
module-transmog-spell,Transmog,Spell.dbc,ID=200100,allocated,module:mod-transmog,mod-transmog,data/sql/db-world/trasm_world_NPC.sql,active,DBC-backed module spell
