namespace,key,database_presence,name,observed_at,azerothcore_revision,setup_revision
creature_template,entry=90200,PRESENT,Dark Rider,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
creature_template,entry=90201,PRESENT,Dark Rider,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
creature_template,entry=90202,PRESENT,Dark Rider,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
creature_template,entry=90203,PRESENT,Dark Rider,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
creature_template,entry=90210,PRESENT,Abraham West,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
creature_template,entry=90211,PRESENT,Pancratius Ward,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
creature.guid,guid=900000,PRESENT,creature_entry=90200,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
creature.guid,guid=900001,PRESENT,creature_entry=90201,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
creature.guid,guid=900002,PRESENT,creature_entry=90202,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
creature.guid,guid=900003,PRESENT,creature_entry=90203,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=90001,PRESENT,Transmogrification Mark,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=90002,PRESENT,Molten Core Curio,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=90003,PRESENT,Blackwing Lair Curio,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=90004,PRESENT,Ahn'Qiraj Curio,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=90005,PRESENT,Naxxramas Curio,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91001,PRESENT,Morph Essence - Vile Familiar,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91002,PRESENT,Morph Essence - Imp Jade,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91003,PRESENT,Morph Essence - Imp Red,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91004,PRESENT,Morph Essence - Outland Imp Red,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91005,PRESENT,Morph Essence - Outland Imp Purple,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91006,PRESENT,Morph Essence - Outland Imp Yellow,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91007,PRESENT,Morph Essence - Outland Imp White,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91008,PRESENT,Morph Essence - Outland Voidwalker Blue / Green Armor,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91009,PRESENT,Morph Essence - Outland Voidwalker Blue / Purple Armor,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91010,PRESENT,Morph Essence - Outland Voidwalker Blue / Blue Armor,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91011,PRESENT,Morph Essence - Outland Voidwalker Blue / Red Armor,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91012,PRESENT,Morph Essence - Outland Voidwalker Purple / Blue Armor,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
item_template,entry=91013,PRESENT,Morph Essence - Voidcaller Blue,2026-09-24 12:54:50,529b659668bcd8b1cfbf9acc44f40eb6ff830fe1,422045afa73c58f490a1dfedf448b5f1b83fe429
